id,rarity,name,img,wiki,weight
mukai_kyorai3,3,向井去来,https://naoki496.github.io/bungakusi-quiz/assets/cards/mukai_kyorai3.png,https://ja.wikipedia.org/wiki/%E5%90%91%E4%BA%95%E5%8E%BB%E6%9D%A5,2
yokoi_yayuu3,3,横井也有,https://naoki496.github.io/bungakusi-quiz/assets/cards/yokoi_yayuu3.png,https://ja.wikipedia.org/wiki/%E6%A8%AA%E4%BA%95%E4%B9%9F%E6%9C%89,2
hakuin_ekaku3,3,白隠慧鶴,https://naoki496.github.io/bungakusi-quiz/assets/cards/hakuin_ekaku3.png,https://ja.wikipedia.org/wiki/%E7%99%BD%E9%9A%A0%E6%85%A7%E9%B6%B4,2
anrakuan3,3,安楽庵策伝,https://naoki496.github.io/bungakusi-quiz/assets/cards/anrakuan3.png,https://ja.wikipedia.org/wiki/%E5%AE%89%E6%A5%BD%E5%BA%B5%E7%AD%96%E4%BC%9D,2
asai_ryoui3,3,浅井了意,https://naoki496.github.io/bungakusi-quiz/assets/cards/asai_ryoui3.png,https://ja.wikipedia.org/wiki/%E6%B5%85%E4%BA%95%E4%BA%86%E6%84%8F,2
koikawa_harumachi3,3,恋川春町,https://naoki496.github.io/bungakusi-quiz/assets/cards/koikawa_harumachi3.png,https://ja.wikipedia.org/wiki/%E6%81%8B%E5%B7%9D%E6%98%A5%E7%94%BA,2
kamono_mabuchi3,3,賀茂真淵,https://naoki496.github.io/bungakusi-quiz/assets/cards/kamono_mabuchi3.png,https://ja.wikipedia.org/wiki/%E8%B3%80%E8%8C%82%E7%9C%9F%E6%B7%B5,2
ryoukan4,4,良寛,https://naoki496.github.io/bungakusi-quiz/assets/cards/ryoukan4.png,https://ja.wikipedia.org/wiki/%E8%89%AF%E5%AF%9B,1
hirata_atutane4,4,平田篤胤,https://naoki496.github.io/bungakusi-quiz/assets/cards/hirata_atutane4.png,https://ja.wikipedia.org/wiki/%E5%B9%B3%E7%94%B0%E7%AF%A4%E8%83%A4,1
turuya_nanboku4,4,鶴屋南北 (4代目),https://naoki496.github.io/bungakusi-quiz/assets/cards/turuya_nanboku4.png,https://ja.wikipedia.org/wiki/%E9%B6%B4%E5%B1%8B%E5%8D%97%E5%8C%97_(4%E4%BB%A3%E7%9B%AE),1
matunaga_teitoku4,4,松永貞徳,https://naoki496.github.io/bungakusi-quiz/assets/cards/matunaga_teitoku4.png,https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%B0%B8%E8%B2%9E%E5%BE%B3,1
jippensya_ikku4,4,十返舎一九,https://naoki496.github.io/bungakusi-quiz/assets/cards/jippensya_ikku4.png,https://ja.wikipedia.org/wiki/%E5%8D%81%E8%BF%94%E8%88%8E%E4%B8%80%E4%B9%9D,1
kobayasi_issa4,4,小林一茶,https://naoki496.github.io/bungakusi-quiz/assets/cards/kobayasi_issa4.png,https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%9E%97%E4%B8%80%E8%8C%B6,1
ueda_akinari4,4,上田秋成,https://naoki496.github.io/bungakusi-quiz/assets/cards/ueda_akinari4.png,https://ja.wikipedia.org/wiki/%E4%B8%8A%E7%94%B0%E7%A7%8B%E6%88%90,1
ogyuu_sorai5,5,荻生徂徠,https://naoki496.github.io/bungakusi-quiz/assets/cards/ogyuu_sorai5.png,https://ja.wikipedia.org/wiki/%E8%8D%BB%E7%94%9F%E5%BE%82%E5%BE%A0,0.4
kyokutei_bakin5,5,曲亭馬琴,https://naoki496.github.io/bungakusi-quiz/assets/cards/kyokutei_bakin5.png,https://ja.wikipedia.org/wiki/%E6%9B%B2%E4%BA%AD%E9%A6%AC%E7%90%B4,0.4
yosa_buson5,5,与謝蕪村,https://naoki496.github.io/bungakusi-quiz/assets/cards/yosa_buson5.png,https://ja.wikipedia.org/wiki/%E4%B8%8E%E8%AC%9D%E8%95%AA%E6%9D%91,0.4
motoori_norinaga5,5,本居宣長,https://naoki496.github.io/bungakusi-quiz/assets/cards/motoori_norinaga5.png,https://ja.wikipedia.org/wiki/%E6%9C%AC%E5%B1%85%E5%AE%A3%E9%95%B7,0.2
tikamatu_monzaemon5,5,近松門左衛門,https://naoki496.github.io/bungakusi-quiz/assets/cards/tikamatu_monzaemon5.png,https://ja.wikipedia.org/wiki/%E8%BF%91%E6%9D%BE%E9%96%80%E5%B7%A6%E8%A1%9B%E9%96%80,0.4
ihara_saikaku5,5,井原西鶴,https://naoki496.github.io/bungakusi-quiz/assets/cards/ihara_saikaku5.png,https://ja.wikipedia.org/wiki/%E4%BA%95%E5%8E%9F%E8%A5%BF%E9%B6%B4,0.4
matuo_basyou5,5,松尾芭蕉,https://naoki496.github.io/bungakusi-quiz/assets/cards/matuo_basyou5.png,https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B0%BE%E8%8A%AD%E8%95%89,0.2
kunikida_doppo3,3,国木田独歩,https://naoki496.github.io/bungakusi-quiz/assets/cards/kunikida_doppo3.png,https://ja.wikipedia.org/wiki/%E5%9B%BD%E6%9C%A8%E7%94%B0%E7%8B%AC%E6%AD%A9,2
tayama_katai3,3,田山花袋,https://naoki496.github.io/bungakusi-quiz/assets/cards/tayama_katai3.png,https://ja.wikipedia.org/wiki/%E7%94%B0%E5%B1%B1%E8%8A%B1%E8%A2%8B,2
tokutomi_roka3,3,徳冨蘆花,https://naoki496.github.io/bungakusi-quiz/assets/cards/tokutomi_roka3.png,https://ja.wikipedia.org/wiki/%E5%BE%B3%E5%86%A8%E8%98%86%E8%8A%B1,2
kitahara_hakusyuu3,3,北原白秋,https://naoki496.github.io/bungakusi-quiz/assets/cards/kitahara_hakusyuu3.png,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%8E%9F%E7%99%BD%E7%A7%8B,2
ozaki_kouyou4,4,尾崎紅葉,https://naoki496.github.io/bungakusi-quiz/assets/cards/ozaki_kouyou4.png,https://ja.wikipedia.org/wiki/%E5%B0%BE%E5%B4%8E%E7%B4%85%E8%91%89,1
hutabatei_simei4,4,二葉亭四迷,https://naoki496.github.io/bungakusi-quiz/assets/cards/hutabatei_simei4.png,https://ja.wikipedia.org/wiki/%E4%BA%8C%E8%91%89%E4%BA%AD%E5%9B%9B%E8%BF%B7,1
simazaki_touson4,4,島崎藤村,https://naoki496.github.io/bungakusi-quiz/assets/cards/simazaki_touson4.png,https://ja.wikipedia.org/wiki/%E5%B3%B6%E5%B4%8E%E8%97%A4%E6%9D%91,1
yosano_akiko4,4,与謝野晶子,https://naoki496.github.io/bungakusi-quiz/assets/cards/yosano_akiko4.png,https://ja.wikipedia.org/wiki/%E4%B8%8E%E8%AC%9D%E9%87%8E%E6%99%B6%E5%AD%90,0.8
isikawa_takuboku4,4,石川啄木,https://naoki496.github.io/bungakusi-quiz/assets/cards/isikawa_takuboku4.png,https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%B7%9D%E5%95%84%E6%9C%A8,0.8
kouda_rohan4,4,幸田露伴,https://naoki496.github.io/bungakusi-quiz/assets/cards/kouda_rohan4.png,https://ja.wikipedia.org/wiki/%E5%B9%B8%E7%94%B0%E9%9C%B2%E4%BC%B4,1
izumi_kyouka5,5,泉鏡花,https://naoki496.github.io/bungakusi-quiz/assets/cards/izumi_kyouka5.png,https://ja.wikipedia.org/wiki/%E6%B3%89%E9%8F%A1%E8%8A%B1,0.4
masaoka_siki5,5,正岡子規,https://naoki496.github.io/bungakusi-quiz/assets/cards/masaoka_siki5.png,https://ja.wikipedia.org/wiki/%E6%AD%A3%E5%B2%A1%E5%AD%90%E8%A6%8F,0.4
higuti_itiyou5,5,樋口一葉,https://naoki496.github.io/bungakusi-quiz/assets/cards/higuti_itiyou5.png,https://ja.wikipedia.org/wiki/%E6%A8%8B%E5%8F%A3%E4%B8%80%E8%91%89,0.3
mori_ougai5,5,森鴎外,https://naoki496.github.io/bungakusi-quiz/assets/cards/mori_ougai5.png,https://ja.wikipedia.org/wiki/%E6%A3%AE%E9%B7%97%E5%A4%96,0.3
hukuzawa_yukiti5,5,福沢諭吉,https://naoki496.github.io/bungakusi-quiz/assets/cards/hukuzawa_yukiti5.png,https://ja.wikipedia.org/wiki/%E7%A6%8F%E6%BE%A4%E8%AB%AD%E5%90%89,0.2
koizumi_yakumo5,5,小泉八雲(ﾗﾌｶﾃﾞｨｵ･ﾊｰﾝ),https://naoki496.github.io/bungakusi-quiz/assets/cards/koizumi_yakumo5.png,https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%B3%89%E5%85%AB%E9%9B%B2,0.2
